 X,Z, RADIATION LOSS, INTEGRATED INTENSITY, TEMPERATURE, TEMPERATURE, U-VELOCITY, V-VELOCITY, W-VELOCITY
 m,m, kW/m3, kW/m2, C, C, m/s, m/s, m/s
 0.90000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20324E+02,-0.15674E+00,-0.10100E+00, 0.00000E+00
 0.95000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20169E+02,-0.10730E+00,-0.12429E+00, 0.00000E+00
 0.10000E+01, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20086E+02,-0.16517E+00,-0.16783E+00, 0.00000E+00
-0.10000E+01, 0.50000E-01, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20100E+02, 0.18942E+00, 0.26916E-01, 0.46972E-02
-0.95000E+00, 0.50000E-01, 0.71703E+00, 0.82765E+01, 0.20087E+02, 0.20182E+02, 0.18374E+00, 0.19247E-01, 0.23849E-03
-0.90000E+00, 0.50000E-01, 0.71721E+00, 0.82823E+01, 0.20264E+02, 0.20330E+02, 0.17473E+00, 0.16053E-01,-0.42111E-02
-0.85000E+00, 0.50000E-01, 0.71208E+00, 0.82385E+01, 0.20416E+02, 0.20478E+02, 0.25011E+00,-0.26086E-01,-0.25805E-01
-0.80000E+00, 0.50000E-01, 0.73250E+00, 0.84292E+01, 0.20540E+02, 0.20640E+02, 0.22113E+00,-0.52136E-01,-0.27673E-01
-0.75000E+00, 0.50000E-01, 0.79826E+00, 0.90374E+01, 0.20668E+02, 0.20836E+02, 0.28037E+00,-0.43835E-01,-0.34997E-01
-0.70000E+00, 0.50000E-01, 0.90503E+00, 0.10023E+02, 0.20807E+02, 0.21135E+02, 0.27307E+00,-0.35125E-01,-0.29599E-01
-0.65000E+00, 0.50000E-01, 0.10443E+01, 0.11309E+02, 0.21001E+02, 0.21419E+02, 0.33824E+00,-0.22229E-01,-0.16152E-01
-0.60000E+00, 0.50000E-01, 0.12152E+01, 0.12886E+02, 0.21182E+02, 0.21623E+02, 0.32618E+00,-0.38819E-01,-0.38890E-02
-0.55000E+00, 0.50000E-01, 0.14233E+01, 0.14804E+02, 0.21355E+02, 0.21731E+02, 0.36145E+00,-0.45219E-01, 0.24526E-01
-0.50000E+00, 0.50000E-01, 0.16724E+01, 0.17101E+02, 0.21505E+02, 0.21787E+02, 0.31551E+00,-0.55111E-01, 0.45490E-01
-0.45000E+00, 0.50000E-01, 0.19461E+01, 0.19624E+02, 0.21696E+02, 0.21920E+02, 0.33149E+00,-0.37050E-01, 0.55449E-01
-0.40000E+00, 0.50000E-01, 0.21970E+01, 0.21939E+02, 0.21937E+02, 0.22121E+02, 0.24978E+00,-0.43355E-01, 0.52211E-01
-0.35000E+00, 0.50000E-01, 0.23622E+01, 0.23465E+02, 0.22165E+02, 0.22453E+02, 0.22763E+00,-0.46736E-01, 0.52132E-01
-0.30000E+00, 0.50000E-01, 0.29542E+01, 0.28924E+02, 0.22599E+02, 0.23018E+02, 0.20486E+00, 0.21549E-01, 0.35031E-01
-0.25000E+00, 0.50000E-01, 0.29511E+01, 0.28905E+02, 0.23009E+02, 0.23690E+02, 0.16178E+00, 0.42934E-01, 0.58285E-01
-0.20000E+00, 0.50000E-01, 0.28638E+01, 0.28110E+02, 0.23361E+02, 0.24290E+02, 0.15147E+00,-0.63005E-02, 0.60394E-01
-0.15000E+00, 0.50000E-01, 0.27597E+01, 0.27168E+02, 0.24058E+02, 0.24573E+02, 0.12725E+00,-0.40700E-01, 0.12661E+00
-0.10000E+00, 0.50000E-01, 0.26376E+01, 0.26043E+02, 0.24037E+02, 0.24516E+02, 0.14345E+00,-0.13055E-02, 0.19873E+00
-0.50000E-01, 0.50000E-01, 0.25452E+01, 0.25193E+02, 0.24084E+02, 0.24269E+02, 0.90892E-01,-0.35571E-01, 0.23383E+00
 0.00000E+00, 0.50000E-01, 0.24806E+01, 0.24591E+02, 0.23747E+02, 0.24079E+02,-0.18998E-01,-0.31291E-01, 0.27811E+00
 0.50000E-01, 0.50000E-01, 0.24486E+01, 0.24292E+02, 0.23596E+02, 0.24041E+02,-0.59652E-01, 0.50987E-01, 0.28238E+00
 0.10000E+00, 0.50000E-01, 0.24395E+01, 0.24211E+02, 0.23661E+02, 0.24087E+02,-0.88975E-01, 0.14024E-01, 0.18814E+00
 0.15000E+00, 0.50000E-01, 0.24628E+01, 0.24429E+02, 0.23803E+02, 0.24042E+02,-0.11442E+00,-0.65491E-02, 0.76637E-01
